iter	Passed	Remaining
407	4762	6910
408	4770	6893
409	4779	6878
410	4788	6862
411	4796	6845
412	4803	6827
413	4811	6810
414	4820	6795
415	4829	6780
416	4839	6765
417	4847	6748
418	4855	6732
419	4864	6717
420	4872	6701
421	4880	6685
422	4889	6669
423	4898	6653
424	4907	6639
425	4916	6624
426	4925	6609
427	4934	6594
428	4942	6578
429	4950	6562
430	4960	6549
431	4970	6534
432	4978	6519
433	4987	6504
434	4995	6488
435	5002	6471
436	5010	6455
437	5018	6439
438	5028	6425
439	5037	6411
440	5047	6397
441	5056	6383
442	5065	6369
443	5074	6354
444	5083	6339
445	5091	6324
446	5099	6309
447	5109	6295
448	5117	6280
449	5126	6265
450	5135	6250
451	5145	6237
452	5153	6223
453	5161	6207
454	5171	6193
455	5179	6179
456	5188	6164
457	5196	6150
458	5205	6135
459	5215	6122
460	5224	6108
461	5234	6095
462	5243	6081
463	5251	6066
464	5260	6052
465	5269	6038
466	5278	6024
467	5286	6009
468	5294	5994
469	5302	5979
470	5311	5965
471	5319	5950
472	5327	5935
473	5337	5923
474	5346	5909
475	5356	5896
476	5365	5882
477	5372	5867
478	5380	5852
479	5391	5840
480	5401	5827
481	5408	5812
482	5418	5799
483	5428	5787
484	5437	5774
485	5447	5761
486	5456	5747
487	5464	5733
488	5473	5719
489	5481	5705
490	5491	5692
491	5498	5677
492	5507	5663
493	5514	5648
494	5521	5633
495	5530	5619
496	5538	5605
497	5546	5591
498	5555	5578
499	5564	5564
500	5572	5550
501	5581	5536
502	5589	5522
503	5598	5510
504	5607	5496
505	5618	5485
506	5629	5473
507	5640	5463
508	5651	5451
509	5661	5439
510	5669	5425
511	5678	5411
512	5686	5398
513	5695	5385
514	5704	5372
515	5712	5358
516	5722	5345
517	5730	5332
518	5739	5318
519	5747	5305
520	5755	5291
521	5764	5278
522	5771	5264
523	5780	5250
524	5788	5237
525	5797	5224
526	5805	5210
527	5814	5197
528	5822	5184
529	5831	5170
530	5840	5158
531	5849	5146
532	5858	5133
533	5866	5119
534	5876	5107
535	5886	5095
536	5895	5082
537	5905	5070
538	5914	5058
539	5924	5046
540	5933	5033
541	5940	5020
542	5948	5006
543	5956	4993
544	5964	4979
545	5973	4967
546	5984	4956
547	5993	4943
548	6002	4930
549	6011	4918
550	6019	4905
551	6027	4891
552	6035	4878
553	6042	4864
554	6050	4851
555	6060	4839
556	6080	4835
557	6090	4824
558	6102	4814
559	6116	4805
560	6129	4796
561	6140	4785
562	6152	4775
563	6163	4765
564	6175	4754
565	6188	4745
566	6199	4734
567	6212	4724
568	6224	4715
569	6235	4704
570	6247	4693
571	6257	4682
572	6266	4670
573	6276	4657
574	6284	4645
575	6292	4632
576	6302	4620
577	6310	4607
578	6318	4594
579	6326	4581
580	6335	4569
581	6343	4556
582	6352	4543
583	6360	4531
584	6369	4518
585	6377	4505
586	6385	4492
587	6393	4480
588	6401	4467
589	6411	4455
590	6421	4443
591	6430	4432
592	6439	4419
593	6447	4407
594	6459	4396
595	6468	4384
596	6478	4373
597	6488	4361
598	6496	4349
599	6504	4336
600	6512	4323
601	6521	4311
602	6529	4298
603	6537	4285
604	6544	4273
605	6552	4260
606	6559	4247
607	6568	4235
608	6577	4223
609	6586	4211
