iter	RMSE
0	73.34680876
1	71.74788945
2	70.2730988
3	68.82297856
4	67.46086535
5	66.17852489
6	64.8506144
7	63.47861088
8	62.41409229
9	61.33440962
10	60.05255094
11	58.78043812
12	57.81662064
13	56.67748629
14	55.65408373
15	54.77851501
16	53.86702095
17	52.99276434
18	52.15778804
19	51.28824142
20	50.40963966
21	49.64396764
22	48.95710805
23	48.13824924
24	47.43026654
25	46.64583525
26	45.97051825
27	45.20372112
28	44.51644366
29	43.90206334
30	43.26244606
31	42.61053962
32	42.0316623
33	41.46216864
34	40.82825344
35	40.20294142
36	39.7050339
37	39.07935288
38	38.63600268
39	38.11924017
40	37.62059556
41	37.24950131
42	36.81662214
43	36.40955268
44	35.96567841
45	35.52313375
46	35.1267714
47	34.7732151
48	34.40923477
49	34.05075377
50	33.7083243
51	33.44405023
52	33.12014673
53	32.78314056
54	32.43124804
55	32.17920511
56	31.89495692
57	31.52469489
58	31.22271228
59	30.95404879
60	30.64566468
61	30.39009861
62	30.11814658
63	29.84438261
64	29.56688024
65	29.35618191
66	29.12218739
67	28.8753962
68	28.66702582
69	28.43219435
70	28.23132206
71	28.01815873
72	27.84075802
73	27.62623069
74	27.46863531
75	27.29257108
76	27.08952988
77	26.91243599
78	26.72742484
79	26.53253342
80	26.33627096
81	26.20171141
82	26.01135082
83	25.83519608
84	25.67961103
85	25.55842697
86	25.39298819
87	25.26531203
88	25.12192926
89	24.99956798
90	24.83964182
91	24.69629556
92	24.55472157
93	24.4417855
94	24.2752981
95	24.15062238
96	24.03185431
97	23.88012283
98	23.76811122
99	23.62010193
100	23.47577898
101	23.33606708
102	23.21546452
103	23.08555105
104	22.99420248
105	22.89831458
106	22.80485176
107	22.70231433
108	22.61087613
109	22.51015313
110	22.41155382
111	22.3173506
112	22.19919584
113	22.12346502
114	22.02563378
115	21.93254503
116	21.833704
117	21.71353464
118	21.59460314
119	21.50082832
120	21.43872706
121	21.32796142
122	21.24539574
123	21.18216954
124	21.12920309
125	21.06625204
126	20.97014167
127	20.89500878
128	20.79278298
129	20.71758383
130	20.63331826
131	20.54401538
132	20.45223797
133	20.39918514
134	20.30093065
135	20.24453433
136	20.18655186
137	20.11717886
138	20.05191551
139	19.98685639
140	19.89981286
141	19.84770049
142	19.78151557
143	19.70571091
144	19.64939633
145	19.56063074
146	19.49240594
147	19.42023312
148	19.36002096
149	19.25897783
150	19.17491726
151	19.11276557
152	19.02671682
153	18.93845818
154	18.88047886
155	18.82126159
156	18.73642458
157	18.66221531
158	18.6005219
159	18.53862317
160	18.46645556
161	18.4073165
162	18.33241645
163	18.22117452
164	18.14427217
165	18.05962273
166	18.00646856
167	17.94176433
168	17.87709532
169	17.79464768
170	17.7458693
171	17.70074044
172	17.62742974
173	17.57729507
174	17.52116412
175	17.45125355
176	17.38682319
177	17.34536435
178	17.28946753
179	17.24420038
180	17.16898838
181	17.09892212
182	17.04167521
183	16.9535851
184	16.85681964
185	16.7991331
186	16.7628078
187	16.72911696
188	16.65290962
189	16.62141757
190	16.55517828
191	16.51745122
192	16.42720732
193	16.38147875
194	16.35082873
195	16.27742748
196	16.19969912
197	16.15189404
198	16.12652092
199	16.09866043
200	16.01596882
201	15.96493624
202	15.91834616
203	15.88048198
204	15.80117625
205	15.75842465
206	15.70403983
207	15.63299362
208	15.57641762
209	15.52982543
210	15.4754057
211	15.44306308
212	15.38288978
213	15.35044987
214	15.31418125
215	15.2815706
216	15.21540878
217	15.14195575
218	15.09998319
219	15.04476764
220	14.99935702
221	14.91667229
222	14.87580402
223	14.84611952
224	14.78334949
225	14.75863174
226	14.73032261
227	14.67971966
228	14.64786682
229	14.5716155
230	14.53494613
231	14.50253805
232	14.45701267
233	14.40924004
234	14.36009233
235	14.30069197
236	14.27090768
237	14.23686461
238	14.20668641
239	14.12884688
240	14.06180246
241	14.03686904
242	13.99846129
243	13.94942995
244	13.8608646
245	13.8144433
246	13.77783126
247	13.75590067
248	13.73642139
249	13.69106763
250	13.64279092
251	13.62424504
252	13.56040323
253	13.5219986
254	13.4889904
255	13.47229852
256	13.42463902
257	13.35717272
258	13.28730946
259	13.2332247
260	13.20238801
261	13.16752874
262	13.13434484
263	13.09697593
264	13.05790715
265	13.00420868
266	12.9724586
267	12.94285239
268	12.90364934
269	12.85765736
270	12.81142891
271	12.76480865
272	12.72151369
273	12.68387113
274	12.65485965
275	12.60767617
276	12.57786817
277	12.54299449
278	12.53398877
279	12.49532312
280	12.45640118
281	12.40515299
282	12.38177628
283	12.36322132
284	12.33201897
285	12.28742308
286	12.25428622
287	12.22490787
288	12.17454685
289	12.1535195
290	12.08676517
291	12.02213767
292	11.9936391
293	11.96382563
294	11.94893676
295	11.90863273
296	11.87719694
297	11.81947173
298	11.79306198
299	11.74358059
300	11.71643748
301	11.67906763
302	11.64915633
303	11.61593707
304	11.58715866
305	11.56722681
306	11.55064658
307	11.51664732
308	11.47708017
309	11.45074374
310	11.42750192
311	11.41621488
312	11.39447139
313	11.34835762
314	11.31280776
315	11.29075013
316	11.25257147
317	11.21508855
318	11.178726
319	11.14845098
320	11.09632009
321	11.05078959
322	11.03141452
323	10.98952562
324	10.97776663
325	10.94456375
326	10.91380963
327	10.87247533
328	10.82905675
329	10.79434429
330	10.7763826
331	10.75181019
332	10.71939068
333	10.7088704
334	10.67975537
335	10.66730792
336	10.64303654
337	10.59800329
338	10.56206838
339	10.5192682
340	10.4897519
341	10.4705884
342	10.44740207
343	10.41024442
344	10.40367496
345	10.37409658
346	10.3463903
347	10.32060479
348	10.27506057
349	10.26174964
350	10.23664296
351	10.22609856
352	10.21850909
353	10.18479972
354	10.16232486
355	10.12137234
356	10.06744566
357	10.04008288
358	10.02420489
359	9.978812154
360	9.929544174
361	9.905859905
362	9.898497644
363	9.888381918
364	9.857096725
365	9.826870351
366	9.792614782
367	9.769506935
368	9.72061885
369	9.713496678
370	9.678751131
371	9.652083743
372	9.623160342
